code_from,pop_from
395,120781.31000986695
396,123110.08320565522
397,123918.39695256017
398,121545.15923039615
399,201406.75008093193
400,122404.4132397502
401,120032.71214438649
402,175728.16846219078
403,121261.32834360516
404,125577.17888902687
405,125601.96681383625
406,149896.1098510027
407,111799.4073109068
408,129505.98251471994
409,122219.6676053349
410,144844.72135559167
411,139412.3846910227
412,114578.83543420793
413,135119.81818998558
414,104921.85195077863
415,139667.86839840398
416,112799.21309144236
417,108085.03010298125
418,121153.45561980456
419,120366.83394192811
420,149533.89300380833
421,174591.94035851024
422,118468.11197876185
423,196611.96236328408
424,139090.7920098789
425,147787.58224056568
426,175971.87060936866
427,155714.94096468203
428,110572.33481003717
429,120529.28131482471
430,165661.31764943642
431,113750.37400473095
432,110986.47464746423
433,119484.77925800625
434,184659.7386028784
435,163527.91442006454
436,131963.42249727435
437,113755.24732226413
438,129113.6352955657
439,123510.07292071357
440,121611.14164598752
441,132503.83756877482
442,109228.55840265006
443,135814.17074784124
444,131729.73037820996
445,149601.00329496828
446,116141.00844436721
447,108278.35525934212
448,150153.1514013894
449,146887.00096202176
450,155873.90282345004
451,176905.4005958705
452,228024.21330610057
453,111956.00803174824
454,126317.63821841963
455,120007.96808166802
456,149889.15098167025
457,177883.00413178653
458,156259.83091282938
459,119974.38875605538
460,288310.76117189624
461,199123.80174634885
462,119035.47694880678
463,129869.35631252872
464,146423.90769239143
465,167018.9649765119
466,119728.45030456781
467,115424.76076471806
468,128287.770016253
469,186268.96947489493
470,183649.79724907503
471,110373.5186394304
472,153054.18299091794
473,110109.44037548732
474,130330.48469089856
475,137386.0000449121
476,148086.64640772063
477,125697.43495928682
478,120729.90787136182
479,185115.77707713563
480,152954.31070082448
481,217211.8561363537
482,120323.87224016711
483,114489.72385947127
484,135774.46276351032
485,189973.399494895
486,148890.6477199227
487,148613.76105603448
488,124349.22970671416
489,116584.24579610303
490,145827.50202302728
491,157136.96512539405
492,130821.72224108316
493,169219.25780097768
494,124556.73608699907
495,195981.05495717283
496,123298.52060430427
497,194170.99168158416
498,151086.78369054245
499,179000.8424278302
500,165421.66094467416
501,166679.41883222014
502,177372.1161542153
503,134949.3520653206
504,207137.29634110606
505,271056.14721603505
506,158925.82539235987
507,184227.2232590716
508,119723.48148357961
509,180351.34573989414
510,212097.09585600626
511,129121.76351386681
512,196566.7664701566
513,171054.71721003018
514,129677.52431782521
515,130177.27033503458
516,145987.45800844952
517,145716.63091515563
518,141962.20082306536
519,121194.36359157972
520,134154.18972476386
521,107967.27914411295
522,114351.06614670914
523,149162.91546253953
524,156747.16771333944
525,125370.8001142866
526,103860.8890003562
527,111112.4204492122
528,106552.36880990677
529,105295.04914353788
530,106229.67128479248
531,96527.75040138885
532,146872.56913828256
533,96954.7264079405
534,100869.48270187996
535,107817.77728237212
536,96006.89066914842
537,109806.10584678128
538,120938.53151959274
539,102691.9295723848
540,104707.60502272123
541,104519.20276017208
542,108506.23351041973
543,103686.57129640877
544,104397.9584004283
545,113775.29787415266
546,118482.9734628289
547,123333.61589153111
548,129155.07481179386
549,114701.87002354953
550,117218.15347806085
551,207097.9272718532
552,101299.51380803832
553,150633.9193816604
554,144012.71940539032
555,171726.71425255097
556,142295.6503401847
557,126463.81141665997
558,117137.37811230123
559,121095.34046349721
560,129987.02386709675
561,181762.0238117238
562,137130.1380490791
563,218043.30855589407
564,165153.33689659357
565,113805.61259941664
566,128221.05407871399
567,164070.37426758837
568,141041.29315553978
569,141617.30488838255
570,165121.62713415083
571,126898.37096735649
572,121081.85953207477
573,112779.54376723804
574,123521.29513836885
575,145345.05886820777
576,141071.72210534313
577,122297.25606210297
578,142807.77090465277
579,153597.40722568613
580,123849.93856228609
581,110397.4194324445
582,111293.71572099067
583,109568.64126070915
