CZ20,CZ2000,CZ2000_name,pop_overlap,share_of_CZ20,afactor,CZ20_total_pop,cells,grid_res_m,crs_epsg,method
1,458,NA,1.0235223472118378,2.2326172219176117e-6,2.2326172219176117e-6,458440.5858576719,2,100,5070,building_footprint_area
4,60,NA,0.4646162837743759,1.267209452005694e-6,1.267209452005694e-6,366645.216415485,2,100,5070,building_footprint_area
1,20,NA,10349.787253629416,0.02257607108294427,0.02257607108294427,458440.5858576719,3513,100,5070,building_footprint_area
3,22,NA,3.282048761844635,1.0762794687913126e-5,1.0762794687913126e-5,304943.9162423542,2,100,5070,building_footprint_area
3,20,NA,27251.590316835092,0.08936590915680669,0.08936590915680669,304943.9162423542,9407,100,5070,building_footprint_area
9,312,NA,12549.830641649198,0.06015263232831432,0.06015263232831432,208633.10807666671,6732,100,5070,building_footprint_area
2,312,NA,33415.97292955988,0.04858762913940289,0.04858762913940289,687746.5215206535,13530,100,5070,building_footprint_area
3,188,NA,252164.39819682005,0.8269205738028641,0.8269205738028641,304943.9162423542,65338,100,5070,building_footprint_area
11,380,NA,67640.2809283589,0.6437544440562445,0.6437544440562445,105071.55570400879,25742,100,5070,building_footprint_area
3,60,NA,7.409151203930378,2.4296766747240023e-5,2.4296766747240023e-5,304943.9162423542,6,100,5070,building_footprint_area
2,254,NA,654089.7229030854,0.9510622045122806,0.9510622045122806,687746.5215206535,107686,100,5070,building_footprint_area
11,60,NA,37431.27477564989,0.3562455559437555,0.3562455559437555,105071.55570400879,15360,100,5070,building_footprint_area
304,257,NA,116977.13338929391,0.35977243418146193,0.35977243418146193,325142.0127710313,48053,100,5070,building_footprint_area
3,8,NA,25512.399242082145,0.08366259460577716,0.08366259460577716,304943.9162423542,10267,100,5070,building_footprint_area
2,380,NA,8.042530119419098,1.1694032420020863e-5,1.1694032420020863e-5,687746.5215206535,4,100,5070,building_footprint_area
305,255,NA,452285.5725030189,0.9997892040994667,0.9997892040994667,452380.93254907965,84512,100,5070,building_footprint_area
94,306,NA,278799.51551442035,0.9333732955637448,0.9333732955637448,298700.9772397969,60955,100,5070,building_footprint_area
100,143,NA,785267.7536790436,0.9999938528898903,0.9999938528898903,785272.5808360642,104098,100,5070,building_footprint_area
56,520,NA,83671.93426168826,0.9998443938875208,0.9998443938875208,83684.95615238813,15668,100,5070,building_footprint_area
46,259,NA,227774.21004574967,0.9999761465399892,0.9999761465399892,227779.64337836427,50761,100,5070,building_footprint_area
313,350,NA,68610.06476041116,0.9999804852599685,0.9999804852599685,68611.40369411744,28512,100,5070,building_footprint_area
319,364,NA,108771.02325929492,0.9999490983985134,0.9999490983985134,108776.56016041129,51617,100,5070,building_footprint_area
52,430,NA,80303.52450906276,0.8680131107058469,0.8680131107058469,92514.18385116546,34525,100,5070,building_footprint_area
41,321,NA,66404.57754994626,0.9999184395945776,0.9999184395945776,66409.99397597904,27642,100,5070,building_footprint_area
43,185,NA,72466.94482883788,0.9999322577630458,0.9999322577630458,72471.85423435993,29887,100,5070,building_footprint_area
52,259,NA,1.6516309082508087,1.785273175957442e-5,1.785273175957442e-5,92514.18385116546,3,100,5070,building_footprint_area
310,353,NA,86608.35584551748,0.13375445829663365,0.13375445829663365,647517.5253855239,24095,100,5070,building_footprint_area
310,317,NA,72086.14069423033,0.11132693381744553,0.11132693381744553,647517.5253855239,27683,100,5070,building_footprint_area
42,240,NA,568896.386708559,0.999990929708483,0.999990929708483,568901.546811433,100492,100,5070,building_footprint_area
439,572,NA,122831.2623809441,0.9999060364936213,0.9999060364936213,122842.80512164673,43092,100,5070,building_footprint_area
43,240,NA,4.3850763365626335,6.0507301529530994e-5,6.0507301529530994e-5,72471.85423435993,7,100,5070,building_footprint_area
42,185,NA,5.160102874040604,9.070291516980109e-6,9.070291516980109e-6,568901.546811433,8,100,5070,building_footprint_area
52,628,NA,12206.564500115812,0.13194262751918595,0.13194262751918595,92514.18385116546,6098,100,5070,building_footprint_area
47,185,NA,1.571045845746994,3.283151946678344e-5,3.283151946678344e-5,47851.755607487634,2,100,5070,building_footprint_area
47,628,NA,23277.5800520028,0.4864519547190955,0.4864519547190955,47851.755607487634,12994,100,5070,building_footprint_area
41,628,NA,1.451781153678894,2.1860883682718198e-5,2.1860883682718198e-5,66409.99397597904,1,100,5070,building_footprint_area
47,321,NA,2.9455190896987915,6.155508930246834e-5,6.155508930246834e-5,47851.755607487634,2,100,5070,building_footprint_area
56,259,NA,11.065601706504822,1.322292824812461e-4,1.322292824812461e-4,83684.95615238813,3,100,5070,building_footprint_area
433,426,NA,150585.05170921067,0.9999197934651205,0.9999197934651205,150597.13058321754,49054,100,5070,building_footprint_area
53,568,NA,99476.86118141189,0.9999843760795473,0.9999843760795473,99478.41542426124,27751,100,5070,building_footprint_area
46,430,NA,0.12063253670930862,5.296019210501888e-7,5.296019210501888e-7,227779.64337836427,1,100,5070,building_footprint_area
46,568,NA,0.8736942261457443,3.835699332861158e-6,3.835699332861158e-6,227779.64337836427,2,100,5070,building_footprint_area
54,200,NA,108538.07098714099,0.9999696127152632,0.9999696127152632,108541.36926463456,32748,100,5070,building_footprint_area
54,240,NA,2.021955966949463,1.8628436149720342e-5,1.8628436149720342e-5,108541.36926463456,1,100,5070,building_footprint_area
50,49,NA,274124.90554659726,0.9998571635587599,0.9998571635587599,274164.06616612436,71227,100,5070,building_footprint_area
47,568,NA,24569.65899054939,0.5134536586721352,0.5134536586721352,47851.755607487634,11652,100,5070,building_footprint_area
50,240,NA,5.367829740047455,1.9578896005995634e-5,1.9578896005995634e-5,274164.06616612436,3,100,5070,building_footprint_area
54,185,NA,0.05269917473196983,4.85521558176441e-7,4.85521558176441e-7,108541.36926463456,1,100,5070,building_footprint_area
43,200,NA,0.5243291854858398,7.234935424589261e-6,7.234935424589261e-6,72471.85423435993,1,100,5070,building_footprint_area
53,259,NA,1.5542428493499756,1.5623920452706767e-5,1.5623920452706767e-5,99478.41542426124,1,100,5070,building_footprint_area
54,628,NA,0.7771691083908081,7.160118889747864e-6,7.160118889747864e-6,108541.36926463456,1,100,5070,building_footprint_area
52,568,NA,2.443211078643799,2.640904320762724e-5,2.640904320762724e-5,92514.18385116546,3,100,5070,building_footprint_area
46,1,NA,4.4390058517456055,1.9488158756891118e-5,1.9488158756891118e-5,227779.64337836427,1,100,5070,building_footprint_area
39,413,NA,64513.336889228376,0.6681845239176296,0.6681845239176296,96550.18124481622,16183,100,5070,building_footprint_area
51,1,NA,1301615.5926042558,0.9694258904209921,0.9694258904209921,1342666.4229475074,133808,100,5070,building_footprint_area
49,71,NA,764261.9772778729,0.9999542024551078,0.9999542024551078,764296.9802031347,124121,100,5070,building_footprint_area
49,568,NA,6.228180974721909,8.148901717584419e-6,8.148901717584419e-6,764296.9802031347,6,100,5070,building_footprint_area
49,628,NA,0.1266976147890091,1.6577013657091177e-7,1.6577013657091177e-7,764296.9802031347,1,100,5070,building_footprint_area
443,473,NA,112060.54262358905,0.9999695967710319,0.9999695967710319,112063.94972951175,44074,100,5070,building_footprint_area
50,473,NA,26.100604981184006,9.52006779961049e-5,9.52006779961049e-5,274164.06616612436,15,100,5070,building_footprint_area
50,200,NA,5.103467702865601,1.861464842651281e-5,1.861464842651281e-5,274164.06616612436,2,100,5070,building_footprint_area
49,200,NA,0.11528059840202332,1.5083220448075571e-7,1.5083220448075571e-7,764296.9802031347,1,100,5070,building_footprint_area
51,413,NA,2.1991190314292908,1.6378744517954383e-6,1.6378744517954383e-6,1342666.4229475074,2,100,5070,building_footprint_area
54,49,NA,0.4464532434940338,4.113208139152334e-6,4.113208139152334e-6,108541.36926463456,1,100,5070,building_footprint_area
39,553,NA,32026.869862859137,0.33171216718537916,0.33171216718537916,96550.18124481622,11088,100,5070,building_footprint_area
49,553,NA,9.168848156929016,1.1996446923671113e-5,1.1996446923671113e-5,764296.9802031347,2,100,5070,building_footprint_area
39,71,NA,9.974492728710175,1.0330889699128043e-4,1.0330889699128043e-4,96550.18124481622,3,100,5070,building_footprint_area
45,411,NA,161973.86745344033,0.7608245418582738,0.7608245418582738,212892.5376905268,42146,100,5070,building_footprint_area
49,411,NA,14.745207756757736,1.9292510815414653e-5,1.9292510815414653e-5,764296.9802031347,4,100,5070,building_footprint_area
57,411,NA,19049.035688688513,0.21180282142419488,0.21180282142419488,89937.5917686075,10164,100,5070,building_footprint_area
45,71,NA,1.1050859689712524,5.190815896880664e-6,5.190815896880664e-6,212892.5376905268,1,100,5070,building_footprint_area
49,225,NA,4.618710160255432,6.043083094516313e-6,6.043083094516313e-6,764296.9802031347,3,100,5070,building_footprint_area
40,225,NA,126016.97033654118,0.8128988423384165,0.8128988423384165,155021.7121407577,31524,100,5070,building_footprint_area
40,71,NA,5.613467693328857,3.621084824706298e-5,3.621084824706298e-5,155021.7121407577,5,100,5070,building_footprint_area
45,265,NA,50913.959249757,0.23915332966610856,0.23915332966610856,212892.5376905268,21379,100,5070,building_footprint_area
45,29,NA,1,4.697205504937234e-6,4.697205504937234e-6,212892.5376905268,1,100,5070,building_footprint_area
57,29,NA,46164.887161329854,0.513299125021086,0.513299125021086,89937.5917686075,19013,100,5070,building_footprint_area
