PUMA20_GISJOIN,CZ90,CZ90_name,pop_overlap,share_of_PUMA20,PUMA20_total_pop,cells,grid_res_m,crs_epsg,method,PUMA20_name,state_fips,state,afactor,GISJOIN,STATEFP20,PUMACE20,GEOID20
G06005908,38300,"Los Angeles city, CA",184904.662,1.0,184904.662,5204,100,5070,building_footprint_area,"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA",6,CA,1.0,G06005908,6,5908,605908
G06006518,38300,"Los Angeles city, CA",104537.4267,1.0,104537.4267,4313,100,5070,building_footprint_area,Riverside County (Northwest)--Moreno Valley City (North) PUMA,6,CA,1.0,G06006518,6,6518,606518
G06003779,38300,"Los Angeles city, CA",118466.776,1.0,118466.776,3385,100,5070,building_footprint_area,Los Angeles County (Southeast)--Long Beach City (East) PUMA,6,CA,1.0,G06003779,6,3779,603779
G06006522,38300,"Los Angeles city, CA",137233.3355,1.0,137233.3355,5911,100,5070,building_footprint_area,Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA,6,CA,1.0,G06006522,6,6522,606522
G06003766,38300,"Los Angeles city, CA",101847.4546,0.999658259,101882.2719,1474,100,5070,building_footprint_area,Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA,6,CA,0.999658259,G06003766,6,3766,603766
G06003780,38300,"Los Angeles city, CA",114012.5636,1.0,114012.5636,1593,100,5070,building_footprint_area,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA,6,CA,1.0,G06003780,6,3780,603780
G06005909,38300,"Los Angeles city, CA",147276.179,1.0,147276.179,3145,100,5070,building_footprint_area,Orange County (North Central)--Anaheim City (West) PUMA,6,CA,1.0,G06005909,6,5909,605909
G06005919,38300,"Los Angeles city, CA",195763.9434,1.0,195763.9434,5329,100,5070,building_footprint_area,Orange County (North Central)--Anaheim City (East) PUMA,6,CA,1.0,G06005919,6,5919,605919
G06006507,38300,"Los Angeles city, CA",173683.5705,1.0,173683.5705,11266,100,5070,building_footprint_area,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA",6,CA,1.0,G06006507,6,6507,606507
G06005921,38300,"Los Angeles city, CA",137097.7947,1.0,137097.7947,4245,100,5070,building_footprint_area,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA",6,CA,1.0,G06005921,6,5921,605921
